# NODES
# NODE;id;lat;lon
NODE;-102567;0.00047836793;-0.01693985402
NODE;-102569;0.00047824532;-0.01671561534
NODE;-102571;0.00054853035;-0.01663769063
NODE;-102573;0.00077619274;-0.01663463476
NODE;-102575;0.00077924861;-0.01693869392
NODE;-102577;0.00077313687;-0.01649100883
NODE;-104539;0.00048526187;-0.01649059633
NODE;-104541;0.00034826664;-0.01648894578
NODE;-104543;0.00034991718;-0.01663254319
NODE;-104547;0.00035321827;-0.01694284564
NODE;-104562;0.00047865969;-0.01713760995
NODE;-104564;0.00097052209;-0.01704569844
NODE;-104575;0.00091762957;-0.01676321043
NODE;-104577;0.00100353298;-0.01667545736
NODE;-104580;0.0010002319;-0.0163818851
NODE;-104584;0.0007093834;-0.01637693347
NODE;-104586;0.00060410086;-0.01649076661
NODE;-104628;0.00027639009;-0.01720413878
NODE;-104637;0.0001433136;-0.01693729037
NODE;-104641;0.00004493618;-0.01667064661
NODE;-104653;0.00004670618;-0.01693881836
NODE;-105184;0.00024444831;-0.01667392361
NODE;-105186;0.00024611121;-0.01693998799
NODE;-105208;0.00014633707;-0.01708299759
NODE;-105211;0.00014140578;-0.01667386608
NODE;-105214;0.00014149132;-0.01676703379
NODE;-105325;0.00074331902;-0.01705140244
NODE;-105363;0.00096947374;-0.01681693321
NODE;-105366;0.00086138508;-0.01670718166
NODE;-105368;0.00085639638;-0.01649266725
NODE;-105443;0.00015312286;-0.01732900406
NODE;-105445;0.00015312286;-0.0174496451
NODE;-105447;0.00027840394;-0.01755327266
NODE;-105449;0.00039595162;-0.01746047186
NODE;-105451;0.00039440494;-0.0172949771

# EDGES
# EDGE;id1;id2
EDGE;-102567;-102569
EDGE;-102569;-102571
EDGE;-102571;-102573
EDGE;-102573;-102575
EDGE;-102575;-102567
EDGE;-102573;-102577
EDGE;-102577;-104586
EDGE;-104586;-104539
EDGE;-104539;-104541
EDGE;-104541;-104543
EDGE;-104543;-102569
EDGE;-104543;-104547
EDGE;-104547;-102567
EDGE;-102567;-104562
EDGE;-104562;-105325
EDGE;-105325;-104564
EDGE;-104564;-105363
EDGE;-105363;-104575
EDGE;-104575;-105366
EDGE;-105366;-105368
EDGE;-105368;-102577
EDGE;-104575;-104577
EDGE;-104577;-104580
EDGE;-104580;-104584
EDGE;-104584;-104586
EDGE;-104628;-105208
EDGE;-105208;-104637
EDGE;-104637;-104653
EDGE;-104653;-104641
EDGE;-104641;-105211
EDGE;-105211;-105184
EDGE;-105184;-105186
EDGE;-105186;-104637
EDGE;-104637;-105214
EDGE;-105214;-105211
EDGE;-104562;-104628
EDGE;-104628;-105443
EDGE;-105443;-105445
EDGE;-105445;-105447
EDGE;-105447;-105449
EDGE;-105449;-105451
EDGE;-105451;-104628

# REFERENCE WORLD COORDINATES
-104562;795.00;-13.30
-104580;712.00;44.30
