# NODES
# id;latitude;longitude
-102243;0.0003937972;-0.0170605644
-102245;0.00102387;-0.0170605644
-102358;0.00102387;-0.0167740153
-102362;0.0007624568;-0.0167773668
-102364;0.0007624568;-0.0170605644
-102367;0.0003988244;-0.0166064428
-102369;0.0010272215;-0.0161204823
-102374;0.0010221943;-0.0166014156
-102381;0.0010305729;-0.0158875565
-102383;0.0003937972;-0.0158707992
-102385;0.0003954729;-0.0154652736
-102494;0.000718888;-0.0163584354
-102519;0.0003937972;-0.0160869678

# REFERENCE WORLD COORDINATES
-102245;785.54;45.62
-102385;609.61;-22.78
